iter	Passed	Remaining
0	67	67607
1	71	35917
2	73	24361
3	78	19543
4	82	16367
5	88	14665
6	94	13400
7	108	13422
8	115	12755
9	119	11799
10	130	11712
11	132	10894
12	133	10112
13	138	9741
14	140	9226
15	144	8904
16	147	8518
17	149	8147
18	151	7838
19	153	7504
20	157	7349
21	162	7203
22	166	7074
23	169	6906
24	173	6770
25	175	6583
26	177	6400
27	183	6365
28	189	6348
29	202	6563
30	203	6376
31	209	6342
32	217	6381
33	219	6247
34	223	6173
35	226	6067
36	229	5976
37	235	5958
38	236	5832
39	243	5838
40	250	5850
41	253	5776
42	258	5744
43	260	5665
44	263	5595
45	266	5530
46	268	5453
47	275	5454
48	278	5397
49	280	5325
50	281	5232
51	282	5142
52	283	5061
53	284	4981
54	291	5004
55	294	4969
56	296	4901
57	301	4894
58	311	4973
59	317	4971
60	328	5052
61	342	5181
62	345	5131
63	347	5077
64	349	5026
65	352	4981
66	354	4931
67	355	4877
68	357	4824
69	361	4796
70	362	4748
71	364	4698
72	366	4651
73	368	4606
74	370	4566
75	372	4528
76	374	4486
77	376	4447
78	378	4416
79	380	4379
80	381	4331
81	382	4286
82	383	4238
83	385	4209
84	388	4177
85	394	4188
86	398	4185
87	404	4196
88	407	4170
89	410	4147
90	415	4149
91	419	4142
92	428	4176
93	441	4259
94	446	4249
95	448	4218
96	450	4196
97	455	4194
98	459	4185
99	463	4172
100	471	4198
101	472	4161
102	476	4147
103	477	4115
104	479	4082
105	497	4197
106	502	4189
107	504	4169
108	508	4158
109	510	4127
110	511	4099
111	514	4077
112	516	4055
113	519	4035
114	521	4015
115	523	3992
116	525	3965
117	528	3947
118	530	3927
119	531	3899
120	532	3871
121	534	3843
122	536	3827
123	539	3810
124	541	3787
125	543	3766
126	544	3741
127	546	3720
128	548	3703
129	551	3688
130	552	3667
131	556	3658
132	558	3638
133	559	3613
134	561	3595
135	563	3581
136	565	3562
137	567	3543
138	570	3533
139	572	3517
140	574	3497
141	575	3476
142	577	3460
143	578	3440
144	580	3420
145	581	3401
146	583	3386
147	585	3369
148	587	3357
149	590	3345
150	592	3332
151	595	3319
152	596	3303
153	598	3289
154	599	3270
155	601	3251
156	601	3232
157	603	3217
158	605	3202
159	607	3189
160	608	3170
161	610	3159
162	612	3147
163	614	3131
164	615	3114
165	616	3097
166	617	3080
167	618	3064
168	620	3053
169	623	3042
170	626	3035
171	627	3022
172	628	3005
173	629	2989
174	631	2975
175	632	2962
176	634	2950
177	636	2940
178	637	2925
179	638	2910
180	640	2897
181	641	2883
182	643	2871
183	644	2857
184	646	2846
185	648	2838
186	650	2829
187	651	2815
188	653	2803
189	654	2791
190	656	2779
191	657	2768
192	658	2754
193	660	2743
194	661	2730
195	662	2716
196	663	2703
197	664	2692
198	665	2679
199	666	2666
200	667	2653
201	668	2640
202	669	2628
203	670	2618
204	672	2607
205	673	2597
206	675	2586
207	677	2580
208	680	2574
209	683	2571
210	689	2577
211	690	2567
212	691	2556
213	697	2562
214	700	2558
215	701	2547
216	702	2535
217	704	2526
218	706	2518
219	708	2511
220	711	2506
221	713	2500
222	715	2491
223	716	2482
224	717	2471
225	719	2462
226	720	2452
227	721	2442
228	722	2432
229	723	2421
230	724	2411
231	726	2403
232	728	2396
233	729	2388
234	733	2386
235	735	2381
236	737	2373
237	738	2364
238	740	2357
239	741	2348
240	743	2341
241	744	2333
242	747	2328
243	749	2322
244	752	2318
245	754	2311
246	756	2304
247	758	2298
248	760	2293
249	762	2287
250	763	2278
251	764	2269
252	765	2260
253	766	2252
254	768	2246
255	770	2239
256	773	2236
257	776	2232
258	777	2225
259	779	2217
260	780	2208
261	780	2199
262	781	2190
263	782	2181
264	783	2173
265	784	2165
266	786	2157
267	788	2152
268	789	2146
269	791	2139
270	792	2131
271	793	2123
272	794	2114
273	794	2106
274	796	2098
275	797	2091
276	798	2084
277	799	2077
278	801	2071
279	802	2064
280	804	2058
281	805	2051
282	806	2043
283	807	2035
284	808	2028
285	809	2021
286	810	2014
287	812	2007
288	813	2001
289	815	1995
290	816	1990
291	818	1984
292	822	1983
293	824	1979
294	825	1973
295	827	1967
296	828	1960
297	829	1954
298	831	1948
299	832	1942
300	833	1935
301	834	1928
302	835	1921
303	836	1915
304	838	1910
305	840	1905
306	842	1901
307	843	1895
308	845	1889
309	846	1883
310	847	1878
311	849	1873
312	850	1866
313	852	1861
314	854	1857
315	855	1852
316	857	1846
317	857	1839
318	859	1833
319	860	1829
320	861	1823
321	872	1837
322	893	1873
323	915	1909
324	920	1912
325	921	1906
326	923	1899
327	924	1893
328	926	1889
329	928	1886
330	931	1882
331	934	1879
332	936	1875
333	937	1869
334	938	1863
335	940	1858
336	941	1852
337	942	1845
338	943	1839
339	944	1833
340	945	1827
341	946	1821
342	948	1816
343	950	1812
344	952	1808
345	954	1803
346	955	1798
347	956	1792
348	957	1785
349	958	1780
350	959	1774
351	961	1769
352	962	1763
353	963	1757
354	964	1751
355	965	1745
356	966	1739
357	966	1733
358	967	1728
359	968	1722
360	969	1716
361	971	1712
362	974	1710
363	977	1707
364	979	1704
365	983	1704
366	985	1699
367	995	1709
368	997	1706
369	999	1702
370	1002	1699
371	1004	1695
372	1009	1696
373	1032	1728
374	1035	1725
375	1037	1722
376	1039	1718
377	1066	1754
378	1078	1766
379	1089	1776
380	1097	1783
381	1108	1792
382	1109	1787
383	1112	1784
384	1114	1781
385	1116	1776
386	1121	1776
387	1122	1770
388	1125	1768
389	1127	1763
390	1131	1762
391	1132	1757
392	1134	1752
393	1136	1747
394	1137	1742
395	1139	1737
396	1140	1732
397	1143	1729
398	1146	1726
399	1147	1721
400	1148	1715
401	1149	1709
402	1150	1704
403	1152	1699
404	1154	1695
405	1155	1690
406	1156	1684
407	1160	1684
408	1163	1680
409	1164	1675
410	1170	1676
411	1173	1675
412	1179	1676
413	1184	1676
414	1192	1680
415	1197	1680
416	1200	1679
417	1203	1676
418	1206	1672
419	1208	1669
420	1210	1664
421	1212	1660
422	1214	1656
423	1215	1651
424	1217	1646
425	1218	1642
426	1220	1638
427	1222	1634
428	1224	1629
429	1226	1626
430	1228	1622
431	1231	1619
432	1233	1615
433	1236	1611
434	1236	1606
435	1237	1601
436	1238	1596
437	1240	1591
438	1242	1587
439	1245	1584
440	1246	1579
441	1248	1576
442	1250	1572
443	1251	1567
444	1252	1561
445	1253	1556
446	1254	1552
447	1256	1547
448	1257	1543
449	1259	1539
450	1261	1535
451	1266	1535
452	1284	1551
453	1298	1561
454	1313	1573
455	1315	1569
456	1325	1575
457	1340	1586
458	1351	1593
459	1354	1589
460	1355	1585
461	1357	1581
462	1384	1605
463	1386	1601
464	1388	1596
465	1390	1593
466	1415	1615
467	1422	1616
468	1423	1612
469	1439	1623
470	1441	1618
471	1444	1615
472	1450	1615
473	1456	1615
474	1461	1615
475	1468	1616
476	1471	1613
477	1476	1612
478	1480	1610
479	1482	1606
480	1484	1601
481	1486	1597
482	1488	1593
483	1490	1589
484	1492	1585
485	1494	1580
486	1495	1575
487	1497	1570
488	1499	1566
489	1501	1562
490	1503	1558
491	1505	1554
492	1507	1550
493	1510	1547
494	1512	1543
495	1513	1538
496	1514	1532
497	1516	1528
498	1520	1526
499	1521	1521
500	1523	1517
501	1524	1512
502	1526	1508
503	1527	1503
504	1529	1499
505	1531	1495
506	1532	1490
507	1533	1485
508	1534	1480
509	1535	1475
510	1536	1470
511	1538	1465
512	1541	1462
513	1542	1458
514	1545	1455
515	1548	1452
516	1551	1449
517	1553	1445
518	1555	1441
519	1556	1437
520	1558	1432
521	1559	1427
522	1560	1423
523	1562	1419
524	1563	1414
525	1565	1411
526	1567	1407
527	1570	1403
528	1571	1399
529	1573	1395
530	1575	1391
531	1576	1386
532	1577	1382
533	1579	1378
534	1581	1374
535	1582	1369
536	1583	1365
537	1584	1360
538	1585	1356
539	1586	1351
540	1587	1347
541	1589	1342
542	1591	1339
543	1594	1336
544	1595	1331
545	1596	1327
546	1597	1322
547	1598	1318
548	1599	1313
549	1599	1309
550	1600	1304
551	1603	1301
552	1605	1297
553	1606	1293
554	1607	1289
555	1608	1284
556	1610	1280
557	1612	1277
558	1614	1273
559	1616	1269
560	1618	1266
561	1620	1263
562	1621	1258
563	1623	1254
564	1624	1250
565	1625	1246
566	1627	1243
567	1629	1239
568	1630	1235
569	1631	1230
570	1633	1227
571	1634	1222
572	1636	1219
573	1637	1215
574	1639	1211
575	1640	1207
576	1641	1203
577	1642	1199
578	1643	1195
579	1646	1192
580	1647	1188
581	1649	1184
582	1651	1181
583	1653	1177
584	1654	1173
585	1656	1170
586	1658	1166
587	1659	1162
588	1660	1158
589	1662	1155
590	1664	1151
591	1665	1147
592	1666	1143
593	1667	1139
594	1668	1135
595	1669	1131
596	1670	1127
597	1671	1123
598	1674	1121
599	1676	1117
600	1678	1114
601	1679	1110
602	1681	1107
603	1683	1104
604	1686	1100
605	1688	1097
606	1690	1094
607	1691	1090
608	1692	1086
609	1693	1082
610	1696	1080
611	1698	1076
612	1699	1073
613	1700	1069
614	1701	1065
615	1702	1061
616	1703	1057
617	1705	1054
618	1707	1050
619	1708	1047
620	1709	1043
621	1711	1039
622	1711	1035
623	1713	1032
624	1715	1029
625	1717	1026
626	1718	1022
627	1719	1018
628	1721	1015
629	1723	1012
630	1725	1008
631	1726	1005
632	1727	1001
633	1729	998
634	1730	994
635	1732	991
636	1733	988
637	1735	984
638	1737	981
639	1738	977
640	1739	974
641	1740	970
642	1741	966
643	1742	963
644	1743	959
645	1745	956
646	1748	953
647	1749	950
648	1750	946
649	1751	943
650	1752	939
651	1753	935
652	1754	932
653	1755	928
654	1756	924
655	1757	921
656	1758	917
657	1759	914
658	1760	911
659	1761	907
660	1762	904
661	1764	901
662	1766	897
663	1767	894
664	1769	891
665	1770	887
666	1772	884
667	1773	881
668	1775	878
669	1776	874
670	1777	871
671	1778	867
672	1779	864
673	1780	861
674	1781	857
675	1782	854
676	1783	850
677	1784	847
678	1785	844
679	1786	840
680	1788	837
681	1789	834
682	1790	831
683	1792	828
684	1794	825
685	1796	822
686	1798	819
687	1799	816
688	1801	813
689	1803	810
690	1804	806
691	1806	803
692	1807	800
693	1808	797
694	1810	794
695	1811	791
696	1812	788
697	1814	784
698	1815	781
699	1817	778
700	1818	775
701	1820	773
702	1822	769
703	1823	766
704	1824	763
705	1825	760
706	1828	757
707	1828	754
708	1830	751
709	1832	748
710	1833	745
711	1834	742
712	1836	739
713	1838	736
714	1840	733
715	1841	730
716	1842	727
717	1843	724
718	1844	720
719	1845	717
720	1846	714
721	1847	711
722	1848	708
723	1849	704
724	1850	701
725	1851	698
726	1851	695
727	1852	692
728	1853	689
729	1855	686
730	1858	683
731	1859	680
732	1861	678
733	1865	675
734	1866	672
735	1866	669
736	1867	666
737	1869	663
738	1869	660
739	1871	657
740	1872	654
741	1874	651
742	1876	648
743	1877	646
744	1879	643
745	1882	640
746	1883	637
747	1884	635
748	1886	632
749	1888	629
750	1889	626
751	1890	623
752	1891	620
753	1893	617
754	1895	615
755	1897	612
756	1899	609
757	1902	607
758	1903	604
759	1904	601
760	1906	598
761	1907	595
762	1908	592
763	1909	589
764	1910	586
765	1911	584
766	1912	581
767	1914	578
768	1916	575
769	1917	572
770	1918	569
771	1919	566
772	1920	564
773	1921	561
774	1923	558
775	1924	555
776	1926	552
777	1928	550
778	1930	547
779	1931	544
780	1933	542
781	1934	539
782	1936	536
783	1939	534
784	1940	531
785	1942	528
786	1944	526
787	1945	523
788	1947	520
789	1948	517
790	1950	515
791	1951	512
792	1952	509
793	1953	506
794	1954	504
795	1957	501
796	1959	499
797	1960	496
